2020-04-23 07:37:11 status unpacked libgcc-s1:armhf 10-20200411-0ubuntu1
2020-04-23 07:37:11 install libgcrypt20:armhf <none> 1.8.5-5ubuntu1
2020-04-23 07:37:11 status half-installed libgcrypt20:armhf 1.8.5-5ubuntu1
2020-04-23 07:37:11 status unpacked libgcrypt20:armhf 1.8.5-5ubuntu1
2020-04-23 07:37:11 install libgpg-error0:armhf <none> 1.37-1
2020-04-23 07:37:11 status half-installed libgpg-error0:armhf 1.37-1
2020-04-23 07:37:11 status unpacked libgpg-error0:armhf 1.37-1
2020-04-23 07:37:11 install liblz4-1:armhf <none> 1.9.2-2
2020-04-23 07:37:11 status half-installed liblz4-1:armhf 1.9.2-2
2020-04-23 07:37:11 status unpacked liblz4-1:armhf 1.9.2-2
2020-04-23 07:37:11 install liblzma5:armhf <none> 5.2.4-1
2020-04-23 07:37:11 status half-installed liblzma5:armhf 5.2.4-1
2020-04-23 07:37:11 status unpacked liblzma5:armhf 5.2.4-1
2020-04-23 07:37:11 install libmount1:armhf <none> 2.34-0.1ubuntu9
2020-04-23 07:37:11 status half-installed libmount1:armhf 2.34-0.1ubuntu9
2020-04-23 07:37:12 status unpacked libmount1:armhf 2.34-0.1ubuntu9
2020-04-23 07:37:12 install libncurses6:armhf <none> 6.2-0ubuntu2
2020-04-23 07:37:12 status half-installed libncurses6:armhf 6.2-0ubuntu2
2020-04-23 07:37:12 status unpacked libncurses6:armhf 6.2-0ubuntu2
2020-04-23 07:37:12 install libncursesw6:armhf <none> 6.2-0ubuntu2
2020-04-23 07:37:12 status half-installed libncursesw6:armhf 6.2-0ubuntu2
2020-04-23 07:37:12 status unpacked libncursesw6:armhf 6.2-0ubuntu2
2020-04-23 07:37:12 install libpam-modules:armhf <none> 1.3.1-5ubuntu4
2020-04-23 07:37:12 status half-installed libpam-modules:armhf 1.3.1-5ubuntu4
2020-04-23 07:37:12 status unpacked libpam-modules:armhf 1.3.1-5ubuntu4
2020-04-23 07:37:12 install libpam-modules-bin:armhf <none> 1.3.1-5ubuntu4
2020-04-23 07:37:12 status half-installed libpam-modules-bin:armhf 1.3.1-5ubuntu4
2020-04-23 07:37:12 status unpacked libpam-modules-bin:armhf 1.3.1-5ubuntu4
2020-04-23 07:37:12 install libpam-runtime:all <none> 1.3.1-5ubuntu4
2020-04-23 07:37:12 status half-installed libpam-runtime:all 1.3.1-5ubuntu4
2020-04-23 07:37:12 status unpacked libpam-runtime:all 1.3.1-5ubuntu4
2020-04-23 07:37:12 install libpam0g:armhf <none> 1.3.1-5ubuntu4
2020-04-23 07:37:12 status half-installed libpam0g:armhf 1.3.1-5ubuntu4
2020-04-23 07:37:12 status unpacked libpam0g:armhf 1.3.1-5ubuntu4
2020-04-23 07:37:12 install libpcre2-8-0:armhf <none> 10.34-7
2020-04-23 07:37:12 status half-installed libpcre2-8-0:armhf 10.34-7
2020-04-23 07:37:12 status unpacked libpcre2-8-0:armhf 10.34-7
2020-04-23 07:37:12 install libpcre3:armhf <none> 2:8.39-12build1
2020-04-23 07:37:12 status half-installed libpcre3:armhf 2:8.39-12build1
2020-04-23 07:37:12 status unpacked libpcre3:armhf 2:8.39-12build1
2020-04-23 07:37:12 install libprocps8:armhf <none> 2:3.3.16-1ubuntu2
2020-04-23 07:37:12 status half-installed libprocps8:armhf 2:3.3.16-1ubuntu2
2020-04-23 07:37:12 status unpacked libprocps8:armhf 2:3.3.16-1ubuntu2
2020-04-23 07:37:12 install libselinux1:armhf <none> 3.0-1build2
2020-04-23 07:37:12 status half-installed libselinux1:armhf 3.0-1build2
2020-04-23 07:37:12 status unpacked libselinux1:armhf 3.0-1build2
2020-04-23 07:37:12 install libsemanage-common:all <none> 3.0-1build2
2020-04-23 07:37:12 status half-installed libsemanage-common:all 3.0-1build2
2020-04-23 07:37:12 status unpacked libsemanage-common:all 3.0-1build2
2020-04-23 07:37:12 install libsemanage1:armhf <none> 3.0-1build2
2020-04-23 07:37:12 status half-installed libsemanage1:armhf 3.0-1build2
2020-04-23 07:37:12 status unpacked libsemanage1:armhf 3.0-1build2
2020-04-23 07:37:12 install libsepol1:armhf <none> 3.0-1
2020-04-23 07:37:12 status half-installed libsepol1:armhf 3.0-1
2020-04-23 07:37:12 status unpacked libsepol1:armhf 3.0-1
2020-04-23 07:37:12 install libsmartcols1:armhf <none> 2.34-0.1ubuntu9
2020-04-23 07:37:12 status half-installed libsmartcols1:armhf 2.34-0.1ubuntu9
2020-04-23 07:37:12 status unpacked libsmartcols1:armhf 2.34-0.1ubuntu9
2020-04-23 07:37:12 install libss2:armhf <none> 1.45.5-2ubuntu1
2020-04-23 07:37:12 status half-installed libss2:armhf 1.45.5-2ubuntu1
2020-04-23 07:37:13 status unpacked libss2:armhf 1.45.5-2ubuntu1
2020-04-23 07:37:13 install libsystemd0:armhf <none> 245.4-4ubuntu3
2020-04-23 07:37:13 status half-installed libsystemd0:armhf 245.4-4ubuntu3
2020-04-23 07:37:13 status unpacked libsystemd0:armhf 245.4-4ubuntu3
2020-04-23 07:37:13 install libtinfo6:armhf <none> 6.2-0ubuntu2
2020-04-23 07:37:13 status half-installed libtinfo6:armhf 6.2-0ubuntu2
2020-04-23 07:37:13 status unpacked libtinfo6:armhf 6.2-0ubuntu2
2020-04-23 07:37:13 install libudev1:armhf <none> 245.4-4ubuntu3
2020-04-23 07:37:13 status half-installed libudev1:armhf 245.4-4ubuntu3
2020-04-23 07:37:13 status unpacked libudev1:armhf 245.4-4ubuntu3
2020-04-23 07:37:13 install libuuid1:armhf <none> 2.34-0.1ubuntu9
2020-04-23 07:37:13 status half-installed libuuid1:armhf 2.34-0.1ubuntu9
2020-04-23 07:37:13 status unpacked libuuid1:armhf 2.34-0.1ubuntu9
2020-04-23 07:37:13 install libzstd1:armhf <none> 1.4.4+dfsg-3
2020-04-23 07:37:13 status half-installed libzstd1:armhf 1.4.4+dfsg-3
2020-04-23 07:37:13 status unpacked libzstd1:armhf 1.4.4+dfsg-3
2020-04-23 07:37:13 install login:armhf <none> 1:4.8.1-1ubuntu5
2020-04-23 07:37:13 status half-installed login:armhf 1:4.8.1-1ubuntu5
2020-04-23 07:37:13 status unpacked login:armhf 1:4.8.1-1ubuntu5
2020-04-23 07:37:13 install logsave:armhf <none> 1.45.5-2ubuntu1
2020-04-23 07:37:13 status half-installed logsave:armhf 1.45.5-2ubuntu1
2020-04-23 07:37:13 status unpacked logsave:armhf 1.45.5-2ubuntu1
2020-04-23 07:37:13 install lsb-base:all <none> 11.1.0ubuntu2
2020-04-23 07:37:13 status half-installed lsb-base:all 11.1.0ubuntu2
2020-04-23 07:37:13 status unpacked lsb-base:all 11.1.0ubuntu2
2020-04-23 07:37:13 upgrade mawk:armhf 1.3.4.20200120-2 1.3.4.20200120-2
2020-04-23 07:37:13 status half-configured mawk:armhf 1.3.4.20200120-2
2020-04-23 07:37:13 status unpacked mawk:armhf 1.3.4.20200120-2
2020-04-23 07:37:13 status half-installed mawk:armhf 1.3.4.20200120-2
2020-04-23 07:37:13 status unpacked mawk:armhf 1.3.4.20200120-2
2020-04-23 07:37:13 install mount:armhf <none> 2.34-0.1ubuntu9
2020-04-23 07:37:13 status half-installed mount:armhf 2.34-0.1ubuntu9
2020-04-23 07:37:13 status unpacked mount:armhf 2.34-0.1ubuntu9
2020-04-23 07:37:13 install ncurses-base:all <none> 6.2-0ubuntu2
2020-04-23 07:37:13 status half-installed ncurses-base:all 6.2-0ubuntu2
2020-04-23 07:37:13 status unpacked ncurses-base:all 6.2-0ubuntu2
